,PPIACO,HOUST,PCE,UMCSENT,PCE.1,PSAVERT,CPALTT01USM657N,FEDFUNDS,PPIACO_NBD20200101,HOUST_NBD20200101,PCE_NBD20200101,UMCSENT_NBD20200101,PCE_NBD20200101.1,PSAVERT_NBD20200101,CPALTT01USM657N_NBD20200101,FEDFUNDS_NBD20200101,PPIACO_CHG,HOUST_CHG,PCE_CHG,UMCSENT_CHG,PCE_CHG.1,PSAVERT_CHG,CPALTT01USM657N_CHG,FEDFUNDS_CHG,PPIACO_CCA,HOUST_CCA,PCE_CCA,UMCSENT_CCA,PCE_CCA.1,PSAVERT_CCA,CPALTT01USM657N_CCA,FEDFUNDS_CCA,PPIACO_CCH,HOUST_CCH,PCE_CCH,UMCSENT_CCH,PCE_CCH.1,PSAVERT_CCH,CPALTT01USM657N_CCH,FEDFUNDS_CCH,FEDFUNDS.1,INDPRO,UNRATE,WILL5000PR,WILL5000IND
84,-0.6315109147207695,1.1852171967819425,-0.573553004928133,0.9598587817634024,-0.573553004928133,0.48599379913030705,0.3848954383887411,-0.1354038326331386,-0.6315107965169479,1.1852172417535112,-0.5735530560124615,0.9598589473730149,-0.5735530560124615,0.4859939469768602,0.38489544716967383,-0.13540384430414867,-0.6316704493346961,-0.05157240308438926,-0.8632195837862648,1.2786081849922286,-0.8632195837862648,0.21910426159853302,1.2948757632947476,0.07559563096934013,-0.7033728772470659,-0.04454779680336211,-0.8223297329483614,1.0412139863000307,-0.8223297329483614,0.1805824458327346,1.146209140579942,0.15038453769730054,-0.7033728265755322,-0.04454824599117389,-0.822335614194396,1.041214901401141,-0.822335614194396,0.18058256221716712,1.1462092013312297,0.15038429496736572,-0.1354038326331386,-0.7189196962063575,0.6774796066485897,-0.5411473821166995,-0.5870010769219643
85,-0.6602867164672153,0.6371204037758533,-0.5134891239881577,0.38035531556752916,-0.5134891239881577,-0.5230321722789724,0.07488549061026187,-0.4057811663162813,-0.6602868191591716,0.6371203015737004,-0.5134892243091742,0.38035545381467667,-0.5134892243091742,-0.5230322022643139,0.07488546182690595,-0.40578116583824997,-0.3349859649503537,-1.0248470764880724,2.6386634823146857,-0.7383325774728849,2.6386634823146857,-2.7337078220375113,1.2876587273709574,-0.38064937855586456,-0.3683756847274495,-0.8826547829778341,3.4520507369731743,-0.6135784796783432,3.4520507369731743,-2.423089895453943,1.4977665647531198,-0.7307250648818362,-0.36838260195122774,-0.882654685953184,3.4520553991383496,-0.6135790088936031,3.4520553991383496,-2.4230899230752168,1.4977665341288746,-0.7307244195415017,-0.4057811663162813,-0.6911553688685953,0.5298858352001468,-0.5699511292536997,-0.6026834497779794
86,-0.643021235419348,0.616566774038125,-0.5347106041749428,0.6701070486654652,-0.5347106041749428,0.003416160630217177,-1.1141515346487618,-0.4162812569447529,-0.6430209761731467,0.6165666393917029,-0.534710759776744,0.6701068098205619,-0.534710759776744,0.003416237160168296,-1.1141515677607547,-0.41628127614132576,-0.038301480566011424,-0.04295935287727703,-3.050627701887003,1.0634678369959498,-3.050627701887003,1.9286270468615057,-1.6255961667199335,-0.06779565773858133,-0.033381274056677956,-0.04171058566404417,-3.489327720468045,0.8956666774140954,-3.489327720468045,1.7810113196226873,-2.4691484921467137,-0.11392441255160266,-0.03337568623451551,-0.04170995928282894,-3.489320464290274,0.895666886406803,-3.489320464290274,1.7810109533895593,-2.469148432879108,-0.11392388301141328,-0.4162812569447529,-0.6747795507681867,0.5298858352001468,-0.5722731947450312,-0.6033222632396406
87,-0.6372660750700592,0.41788168657341773,-0.5371655311888383,0.34119967595969986,-0.5371655311888383,0.135028243857514,-1.114419510987775,-0.36640582645951286,-0.6372664598467738,0.41788141780075805,-0.5371654293080896,0.3411999707796333,-0.5371654293080896,0.1350281101145382,-1.1144194793564148,-0.3664058234054551,-0.3349859649503537,-0.49083796364711346,-1.30476136168595,-1.061043099467303,-1.30476136168595,0.5299265861918008,0.04042301575361073,0.23202249137798173,-0.3690488921479046,-0.4489268591398696,-1.3694350386099277,-0.8835068980968473,-1.3694350386099277,0.45356055323878597,0.06162790775819823,0.48961795079001263,-0.3690502456475393,-0.44892730426814365,-1.3694346450215862,-0.8835060283010098,-1.3694346450215862,0.45356066549626095,0.061627954990134085,0.48961875334540766,-0.36640582645951286,-0.6592408127167254,0.45608894947592554,-0.5545190710115192,-0.5900461978602235
88,-0.643021235419348,1.1372587273939097,-0.4996869787767013,0.16108373376368407,-0.4996869787767013,-0.6546442555062696,-1.1146869987408854,-0.13802885529025644,-0.6430209761731467,1.137258517160488,-0.4996866587554078,0.16108396727186833,-0.4996866587554078,-0.6546443910876845,-1.1146870118318923,-0.138028861707955,-0.6316704493346961,1.8174594918589666,2.4102798040907105,-0.550084772976141,2.4102798040907105,-2.7337078220375113,0.04042392873560404,1.1184413670269506,-0.703708090032871,1.57479159033975,3.1331720604086777,-0.47367722390323375,3.1331720604086777,-2.5208228660198397,0.06162920210974316,2.086593704176769,-0.703706648423688,1.5747917702539909,3.1331783593346043,-0.4736763444605715,3.1331783593346043,-2.52082289216356,0.061629210118905445,2.0865933753902484,-0.13802885529025644,-0.6221982619792897,0.2346982923032607,-0.5502985719815029,-0.5859041412863619
89,-0.5969799526250349,0.9351480349729142,-0.5332922019002477,0.2628883967440412,-0.5332922019002477,0.48599379913030705,0.6536827518279781,-0.2640299428319153,-0.5969802575483502,0.935147864707573,-0.5332922727739414,0.26288822316297994,-0.5332922727739414,0.4859939469768602,0.6536828104513518,-0.26402994121775836,0.7034097303948444,-0.49945101385422574,-4.202696478705722,0.41804679300711345,-4.202696478705722,4.104383319014381,2.5191086562154466,-0.6413608125702671,0.7975820125412758,-0.41800794793788093,-4.871776755930466,0.36893190744763377,-4.871776755930466,3.6252571703028904,3.11459025181124,-1.1284349528226258,0.7975903492872082,-0.4180081782570462,-4.871782641481689,0.3689312256887072,-4.871782641481689,3.625257417978526,3.1145903133703188,-1.1284349649716283,-0.2640299428319153,-0.6370265371320654,0.2346982923032607,-0.5040506281789919,-0.553885386658445
90,-0.5682041508785891,0.9694040845357949,-0.4971774978291638,0.24722614090090925,-0.4971774978291638,-0.04045453377888254,-0.2380579627613818,-0.3506556905168056,-0.5682042349061255,0.9694043273476267,-0.4971778361589982,0.2472260299489626,-0.4971778361589982,-0.04045449244762201,-0.2380579027415507,-0.35065567829476685,0.2583830038183309,0.0948494504365188,2.283399982855169,0.014658640514090743,2.283399982855169,-1.8012408482577076,-1.2089455176632071,-0.4458272370594652,0.2919656848201346,0.07683015658150857,2.9714646757049588,0.016892766481199053,2.9714646757049588,-1.4397094798396497,-0.8248438390965455,-0.8278935018075778,0.29196708697808743,0.07683078177270022,2.971463447086903,0.016893657471201737,2.971463447086903,-1.4397090639060977,-0.8248437660798867,-0.8278940260004224,-0.3506556905168056,-0.584789928363323,0.2346982923032607,-0.4577687323098112,-0.5212605217404254
91,-0.5566938301800106,0.7707189970710876,-0.4908492415266776,0.29421290843030395,-0.4908492415266776,-0.08432522818798148,0.04960983437014953,-0.3427806225454519,-0.5566940552499265,0.7707191057566827,-0.49084920183880176,0.2942126095910146,-0.49084920183880176,-0.08432522205541232,0.049609772003902,-0.34278062608334814,-0.18664372275818256,-0.49083796364711346,-0.48765531292906145,0.22979898851036948,-0.48765531292906145,-0.09171806299473477,0.4439553232676798,0.02345334416645959,-0.2061883333746818,-0.4223235678689922,-0.38739446084323037,0.20334321806547642,-0.38739446084323037,-0.07208555670592946,0.407509888040529,0.0684971352064984,-0.20619525702475214,-0.42232304522657654,-0.3873989870308987,0.2033441134442653,-0.3873989870308987,-0.072085619870329,0.407509909265893,0.06849753915429058,-0.3427806225454519,-0.5791836023212157,0.2346982923032607,-0.42625096251260464,-0.4986666167632636
92,-0.5164077077349863,0.3870512419668252,-0.4769379884479368,0.45083546686162124,-0.4769379884479368,-1.8391530045519453,0.33366625856901067,-0.27978007877462246,-0.5164078529515029,0.38705146303285,-0.47693833015490694,0.45083532327775355,-0.47693833015490694,-1.8391531428910184,0.3336662006372884,-0.2797800863284466,0.5550674882026732,-0.9559426748311743,0.21779649314055033,0.6062945975038574,0.21779649314055033,-6.152753392563457,0.43889410715977206,0.2972003498815824,0.6141691545022603,-0.8616782650154388,0.4448275750874592,0.5228704739236382,0.4448275750874592,-7.428182893351092,0.342083777528566,0.5898906112981078,0.6141719348180263,-0.8616779530818689,0.4448318434654655,0.5228713768236577,0.4448318434654655,-7.428182845304004,0.34208381180133823,0.5898903784760028,-0.27978007877462246,-0.5530230922200912,0.013307635130596488,-0.4394526977459969,-0.5063814998457461
93,-0.4761215852899629,0.43500971135485805,-0.4717008108182932,0.31770629219500135,-0.4717008108182932,-0.21593731141527867,-0.25365248801881374,-0.1537789912329639,-0.47612165065308015,0.43500964912078527,-0.47170083968302057,0.31770668095860843,-0.47170083968302057,-0.2159374108787828,-0.2536525059566646,-0.1537790068186432,0.5550674882026732,0.12930165126496776,-0.5891591699174948,-0.3887295119789319,-0.5891591699174948,5.813906104277353,-0.7823085072269471,0.6100540706988655,0.6062923494980518,0.11575237381330881,-0.515394532688291,-0.3261706608061896,-0.515394532688291,7.138782088568493,-0.5814626820435139,1.1228909756074115,0.6062937392015504,0.11575235325525685,-0.5153868702827958,-0.3261699535620314,-0.5153868702827958,7.138782466494436,-0.5814626873725237,1.1228912736197658,-0.1537789912329639,-0.5280935821909475,0.013307635130596488,-0.4443547344789971,-0.5083132484724285
